식품명	1회제공량
슈퍼콤보 치즈캡L	117
포테이토피자 오리진R	147
포테이토피자 패스츄리	149
포테이토피자 치즈캡R	171
포테이토피자 오리진L	192
포테이토피자 치즈캡L	108
치즈스페셜 오리진R	114
치즈스페셜 패스츄리	115
치즈스페셜 치즈캡R	138
치즈스페셜 오리진L	137
치즈스페셜 치즈캡L	161
시카고딥 노엣지R	169
시카고딥 노엣지L	109
페퍼로니 플러스 오리진R	126
페퍼로니 플러스 치즈캡R	149
페퍼로니 플러스 오리진L	160
페퍼로니 플러스 치즈캡L	185
하와이안스페셜 오리진R	153
하와이안스페셜 치즈캡R	177
하와이안스페셜 오리진L	192
하와이안스페셜 치즈캡L	108
트러플베지테리안 오리진R	141
트러플베지테리안 치즈캡R	164
트러플베지테리안 오리진L	183
트러플베지테리안 치즈캡L	104
고르곤졸라R	120
고르곤졸라L	100
불고기샌드	184
쉬골샌드	194
포골샌드	216
치즈추가(샌드)	30
홈샐바	797
홈샐바세트	1172
핫오븐치킨	747
핫하프치킨	374
바비큐폭립	428
The 오븐치킨	644
하프치킨(오븐치킨 반마리)	322
BBQ갈비라이스	371
베이컨 크림리조또	493
오븐치즈 베이컨 크림스파게티	359
오븐치즈 미트 스파게티	375
쉬림프 까르보나라	378
스파이시 포테이토	208
베이크윙(4ea)	152
베이크윙(8ea)	304
핫윙(4ea)	148
핫윙(8ea)	296
크리스피 텐더치킨(4ea)	120
크리스피 텐더치킨(8ea)	240
어니언링	140
케이준치킨샐러드	221
홈샐러드(하절기)	660
홈샐러드(동절기)	665
4구 샐러드	310
펩시콜라500ML	500
펩시콜라1,250ML	1250
사이다500ML	500
사이다1,250ML	1250
1회용 피클	75
1회용 갈릭디핑소스	10
1회용 핫소스	4
허니머스타드소스	12
눈꽃치즈피자 L	160
눈꽃치즈피자 R	198
눈꽃치즈피자 (씬)	123
불금피자 L	129
불금피자 R	140
불금피자 (씬)	104
갈릭쉬림프 L	115
갈릭쉬림프 R	184
갈릭쉬림프 (씬)	147
베이컨체다 L	122
베이컨체다 R	194
베이컨체다 (씬)	161
핫치킨 L	126
핫치킨 R	101
핫치킨 (씬)	163
맵피자 L	143
맵피자 R	114
달피자 L	119
달피자 R	190
리얼고구마 L	149
리얼고구마 R	178
리얼고구마 (씬)	111
크림치즈포테이토 L	158
크림치즈포테이토 R	185
크림치즈포테이토 (씬)	120
마불피자 L	131
마불피자 R	102
마불피자 (씬)	193
울트라콤비네이션 L	147
울트라콤비네이션 R	112
울트라콤비네이션 (씬)	112
신세개피자 L	118
신세개피자 R	105
신세개피자 (씬)	162
신세개피자2 L	134
신세개피자2 R	121
신세개피자2 (씬)	186
수퍼수프림 L	126
수퍼수프림 (씬)	161
고구마 L	133
고구마 (씬)	177
불고기 L	115
불고기 (씬)	136
페퍼로니 L	104
페퍼로니 (씬)	117
치즈 L	193
치즈 (씬)	110
핫바비큐 L	156
핫바비큐 R	125
핫바비큐 (씬)	109
씨푸드 L	160
씨푸드 R	128
씨푸드 (씬)	109
포테이토베이컨 L	156
포테이토베이컨 R	125
포테이토베이컨 (씬)	113
파스트라미 L	191
파스트라미 R	153
파스트라미 (씬)	137
맵고달고 L	167
맵고달고 R	143
맵고달고 (씬)	131
달피자 R	190
국물떡볶이	515
치즈스파게티	340
베이크윙봉	200
콘샐러드	110
달콤닭강정	380
치즈-프라이	420
새우링	115
새우리조또	292
낙지리조또	298
치킨텐더	170
콜라	63
사이다	63
콘버터	130
치즈크러스트	120
고구마 크러스트	120
크림치즈 크러스트	120
전주불백피자R	85
전주불백피자L	93
꿈을피자R	91
꿈을피자L	57
부산피자R	92
부산피자L	95
쉬림프&핫치킨골드피자R	97
쉬림프&핫치킨골드피자L	96
단호박골드피자R	99
단호박골드피자L	101
어깨피자R	20
어깨피자L	29
단호박피자R	87
단호박피자L	93
콤비네이션피자R	75
콤비네이션피자L	72
더너피자 바베킹R	107
더너피자 바베킹L	113
웃음꽃피자R	101
웃음꽃피자L	109
고구마골드피자R	100
고구마골드피자L	102
목동피자R	39
목동피자L	65
고르곤졸라R	34
고르곤졸라L	34
포테이토피자R	82
포테이토피자L	111
베이컨체다치즈피자R	72
베이컨체다치즈피자L	73
불고기피자R	66
불고기피자L	70
야채피자R	70
야채피자L	70
하와이안피자R	70
하와이안피자L	74
페페로니피자R	53
페페로니피자L	58
치즈피자R	57
치즈피자L	61
고구마피자R	92
고구마피자L	93
핫&스파이시치킨피자R	77
핫&스파이시치킨피자L	77
콰트로포르마지오R	66
콰트로포르마지오L	62
스위트가든골드피자R	107
스위트가든골드피자L	106
쉬림프&안심골드피자R	97
쉬림프&안심골드피자L	96
울트라코리안골드피자R	98
울트라코리안골드피자L	110
이탈리안통감자골드피자R	100
이탈리안통감자골드피자L	90
슈크림치즈스틱	295
로제치즈오븐스파게티	425
치즈볼&바게트스틱	290
치즈볼	150
바게트스틱	85
콘치즈그라탕 L	190
콘치즈그라탕 R	95
버팔로윙 4조각	280
버팔로윙 10조각	280
